Name,Type,Cat.,Power,Acc.,PP,Effect
Aqua Cutter,Water,physical,70,100,20,High critical hit ratio.
Aqua Step,Water,physical,80,100,10,Raises user's Speed.
Armor Cannon,Fire,special,120,100,5,Lowers user's Defense and Special Defense.
Axe Kick,Fighting,physical,120,90,10,"May confuse opponent. If it misses, the user loses HP."
Bitter Blade,Fire,physical,90,100,10,User recovers half the HP inflicted on opponent.
Blazing Torque,Fire,physical,80,100,10,
Blood Moon,,0,0,0,Cannot be used twice in a row.
Chilling Water,Water,special,50,100,20,Lowers opponent's Attack.
Chilly Reception,Ice,status,0,0,10,Switches out and summons a snowstorm lasting 5 turns.
Collision Course,Fighting,physical,100,100,5,Boosted even more if it's super-effective.
Combat Torque,Fighting,physical,100,100,10,
Comeuppance,Dark,physical,1,100,10,Deals more damage to the opponent that last inflicted damage on it.
Doodle,Normal,status,0,100,10,Changes the abilities of the user and its teammates to that of the target.
Double Shock,Electric,physical,120,100,5,"After using this move, the user will no longer be Electric type."
Electro Drift,Electric,special,100,100,5,Boosted even more if it's super-effective.
Electro Shot,Electric,special,0,0,0,"Charges on first turn, attacks on second."
Fillet Away,Normal,status,0,0,10,"Lowers HP but sharply boosts Attack, Special Attack, and Speed."
Flower Trick,Grass,physical,70,101,10,Never misses; always results in a critical hit.
Gigaton Hammer,Steel,physical,160,100,5,Cannot be used twice in a row.
Glaive Rush,Dragon,physical,120,100,5,Attacks from opposing Pokemon during the next turn cannot miss and will inflict double damage.
Hydro Steam,Water,special,80,100,15,Power increases in harsh sunlight.
Hyper Drill,Normal,physical,100,100,5,Can strike through Protect/Detect.
Ice Spinner,Ice,physical,80,100,15,Removes effects of Terrain.
Ivy Cudgel,,0,0,0,High critical hit ratio. Type changes based on form.
Jet Punch,Water,physical,60,100,15,Always goes first.
Kowtow Cleave,Dark,physical,85,101,10,Always hits.
Last Respects,Ghost,physical,50,100,10,Damages increases the more party Pokemon have been defeated.
Lumina Crash,Psychic,special,80,100,10,Harshly lowers target’s Special Defense.
Magical Torque,Fairy,physical,100,100,10,
Make It Rain,Steel,special,120,100,5,Lowers user's Special Attack. Money is earned after the battle.
Matcha Gotcha,,0,0,0,"Deals damage, restored HP, may burn opponent."
Mortal Spin,Poison,physical,30,100,15,"Removes entry hazards and trap move effects, and poisons opposing Pokemon."
Noxious Torque,Poison,physical,100,100,10,
Order Up,Dragon,physical,80,100,10,
Population Bomb,Normal,physical,20,90,10,Hits 1-10 times in a row.
Pounce,Bug,physical,50,100,20,Lowers opponent's Speed.
Psyblade,Psychic,physical,80,100,15,Power increases on Electric Terrain.
Psychic Noise,Psychic,special,0,0,0,Deals damage and prevents target from healing.
Rage Fist,Ghost,physical,50,100,10,"The more times the user has been hit by attacks, the greater the move's power."
Raging Bull,Normal,physical,90,100,10,Type depends on the user’s form. Breaks through Reflect and Light Screen barriers.
Revival Blessing,Normal,status,0,0,1,Revives a fainted party Pokemon to half HP.
Ruination,Dark,special,1,90,10,Halves the opponent's HP.
Salt Cure,Rock,physical,40,100,15,Deals damage each turn; Steel and Water types are more affected.
Shed Tail,Normal,status,0,0,10,"Creates a substitute, then swaps places with a party Pokemon in waiting."
Silk Trap,Bug,status,0,0,10,Protects the user and lowers opponent's Speed on contact.
Snowscape,Ice,status,0,0,10,Raises Defense of Ice types for 5 turns.
Spicy Extract,Grass,status,0,101,15,Harshly lowers the opponent's Defense and sharply raises their Attack.
Spin Out,Steel,physical,100,100,5,Harshly lowers user’s Speed.
Syrup Bomb,Grass,special,0,0,0,Lowers opponent's Speed each turn for 3 turns.
Tachyon Cutter,Steel,special,0,0,0,Guaranteed to hit twice in a row.
Tera Blast,Normal,special,80,100,10,Changes type when the user has Terastallized.
Thunderclap,Electric,special,0,0,0,Strikes before a target's move.
Tidy Up,Normal,status,0,0,10,"Removes the effects of entry hazards and Substitute, and boosts user’s Attack and Speed."
Torch Song,Fire,special,80,100,10,Raises user's Special Attack.
Trailblaze,Grass,physical,50,100,20,Raises user's Speed.
Triple Dive,Water,physical,30,95,10,Hits 3 times in a row.
Twin Beam,Psychic,special,40,100,10,Hits twice in one turn.
Upper Hand,Fighting,physical,0,0,0,Strikes before a target's priority move.
Wicked Torque,Dark,physical,80,100,10,
